2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,Normal,
January,0,0,0,0,0,0,0,0,0,0,0,0
February,0,0,0,0,0,0,0,0,0,0,0,0
March,0,0,0,0,5,0,0,0,0,0,0,1
April,0,3,6,30,8,2,0,0,18,1,13,6
May,45,59,137,73,106,119,49,87,102,72,124,54
June,335,242,251,277,269,226,230,278,254,239,337,209
July,556,518,465,413,506,445,380,505,484,486,557,377
August,,401,503,329,519,451,322,340,430,346,428,336
September,,223,247,211,271,281,178,129,184,195,232,141
October,,29,78,96,46,14,24,49,31,24,21,17
November,,0,1,0,2,5,0,0,0,0,0,1
December,,0,0,0,0,1,0,0,0,0,0,0
