Building,delivery18=9,delivery20,supply19,supply20,s+d2019,s+d2020,total diff,delivery,supply
1285,0.0811,0.0882,0.0762,0.0637,0.1573,0.1519,-3%,9%,-16%
1330,0.0817,0.0881,0.0657,0.0599,0.1474,0.148,0%,8%,-9%
230,0.0666,0.0765,0.0759,0.0694,0.1425,0.1459,2%,15%,-9%
237,0.0888,0.0858,0.0702,0.0736,0.159,0.1594,0%,-3%,5%
32,0.0806,0.091,0.0714,0.0603,0.152,0.1513,0%,13%,-16%
340,0.0867,0.0964,0.075,0.0727,0.1617,0.1691,5%,11%,-3%
450,0.0835,0.0961,0.0722,0.0664,0.1557,0.1625,4%,15%,-8%
470,0.0761,0.0827,0.07,0.0632,0.1461,0.1459,0%,9%,-10%
5TS,0.0912,0.106,0.0742,0.0812,0.1654,0.1872,13%,16%,9%
530 Condo,0.01129,0.01298,0.0762,0.0664,0.08749,0.07938,-9%,15%,-13%
530 Office,0.2053,0.2045,0.0966,0.0902,0.3019,0.2947,-2%,0%,-7%
61,0.097,0.101,0.0777,0.0705,0.1747,0.1715,-2%,4%,-9%
620,0.0975,0.1184,0.0759,0.0699,0.1734,0.1883,9%,21%,-8%
75,0.0896,0.1009,0.1602,0.1583,0.2498,0.2592,4%,13%,-1%
47,0.1054,0.0958,0.1754,0.1626,0.2808,0.2584,-8%,-9%,-7%
SMP,0.086,0.0912,0.1605,0.1603,0.2465,0.2515,2%,6%,0%
SLB,0.0751,0.0816,0.0764,0.0629,0.1515,0.1445,-5%,9%,-18%
WWP,0.0776,0.0825,0.1497,0.1471,0.2273,0.2296,1%,6%,-2%
